title,text,subject,date
"No disposal roadmap, growing resistance from operators turn Hyderabad’s cable cleanup drive into a tangle","On Hyderabad’s streets, coils of severed black cable lie abandoned in corners and along pavements, stark reminders of a frantic drive by the electricity department to strip away dangling broadband and cable TV wires from power poles. What began as a safety measure after a spate of fatal electrocutions has now turned into a messy tussle between officials and cable",business,28-Aug-25
Rajasthan High Court cancels 2021 Sub-Inspector exam over paper leak,"The Rajasthan High Court on Thursday cancelled the police Sub-Inspector recruitment examination of 2021 after finding large-scale irregularities, including paper leak and involvement of members of the State Public Service Commission (RPSC) in the scam. The court declared null and void the exam as well as the selection of Sub-Inspectors. Justice Sameer Jain at the High Court’s Jaipur Bench, who had earlier reserved the judgment after a prolonged hearing on a writ petition filed by 25 individuals, pronounced the verdict in the open court, while observing that the examination process was vitiated by “illegality and fraud on the system”. The court criticised the State government for its inaction, pointing out that despite glaring evidence, no decisive steps were taken. The BJP government had opposed the writ petition, saying it would be premature to cancel the exam before the Special Operations Group (SOG) of the Rajasthan police completes its probe. A Cabinet Sub-Committee, which examined various aspects of the recruitment exam, had also recommended against cancellation. It said only 6.3% of examinees were found to be tainted in the SOG probe, while 93.7% appeared to be clean. The recommendation was approved by Chief Minister Bhajan Lal Sharma. Multiple first information reports were registered in connection with the recruitment exam held in September 2021 to fill 859 vacancies of Sub-Inspectors and platoon commanders. A total of 122 people, including 55 trainees and two members of RPSC, were arrested in the case. Several of those arrested allegedly acted as dummy candidates and engaged",environment,28-Aug-25
First pier cap of Kochi metro’s ‘Pink Line’ launched near Infopark,"The first pier cap of the Kochi metro’s 11.20-km-long Kakkanad extension (christened ‘Pink Line’) was launched on Thursday (August 28, 2025), atop pillar number 281 near Infopark. The 80-tonne pier cap that was cast at the yard of Kochi Metro Rail Limited (KMRL) in Kalamassery was launched with the help of a heavy-duty crane. In the coming days, pier caps will be launched atop three other adjacent pillars, up to pillar number 284, metro sources said. Altogether, 22 pillars have been built on the proposed alignment, while a total of 898 piles have been readied. A total of 56 pier caps, 64 U-girders, and 30 I-girders have been readied so far at the casting yard, they",sports,28-Aug-25
DPR study on extending Kochi metro to Angamaly begins,"A study for preparing the detailed project report (DPR) on extending the Kochi metro from Aluva to Angamaly via Cochin international airport has begun. Haryana-based Systra MVA Consulting India Private Limited is preparing the DPR at a cost of ?1.03 crore. The company has been instructed to submit the document within six months, according to a Kochi Metro Rail Limited (KMRL) release. KMRL managing director Loknath Behera said the study marked the beginning of the fulfilment of the long-pending demand to connect the metro to the international airport and extend it further to Angamaly. The proposed elevated line will be 17.5 km long with a portion of it planned as an underground stretch. Detailed field investigation, surveys, and engineering",health,28-Aug-25
"Entire village in Bihar shown residing in one house, claims Rahul","Congress leader Rahul Gandhi fired a fresh salvo at the Election Commission of India on Thursday (August 28, 2025), claiming that the draft electoral rolls in Bihar show ""an entire village"" in Gaya district to be ""residing in the same house"". The Leader of Opposition in Lok Sabha, who is carrying out a ‘Voter Adhikar Yatra’ across the state, shared a social media post of his party, with the remark ""see the magic of EC. An entire village has settled down in one house"". The Congress' post on X said that in Nidani village of Gaya district, under Barachatti assembly segment, ""all 947 voters"" of a booth have been shown to be ""residents of house number six"". ""This is about just one village. We can only imagine the scale of irregularities on the state and national level,"" the party said. However, the office of the Chief Electoral Officer of Bihar came out with a clarification issued on the X handle of the District Magistrate of Gaya. The DM claimed ""notional house number is given in villages or slum clusters where the houses do not have any actual serial numbers. This is done for making easy the process of enlisting voters"". Video clips, purportedly of residents of the village, have also been shared on the DM's X handle in which the people can be heard saying they were satisfied with the special intensive revision of electoral rolls, but upset over ""attempts to defame the area"". Published - August 29, 2025 12:04 am IST",technology,28-Aug-25
"Couples choosing ‘love marriage’ face many challenges, says Udhayanidhi","Presiding over the wedding of an inter-caste couple in Chennai, Deputy Chief Minister Udhayanidhi Stalin on Thursday listed the challenges faced by couples when they go in for a ‘love marriage’. “You all know how difficult it is in a love marriage. And I am very well aware [of it]. Initially, the man and the woman should be united in love. After the man convinces the woman and the woman convinces the man, they have to convince each others’ parents to make them accept [their decision],” Mr. Udhayanidhi said. The couple would have to obtain the consent of not only their parents, but also members of their extended family, he said. “Many of them would say a love marriage is not suitable for their family. [They would say] ‘we don’t know about the man and what his educational qualifications are’, and the same goes for the",environment,28-Aug-25
"CPI(M), UDF lock horns over protests against Shafi Parambil in Kozhikode","The Congress-led United Democratic Front (UDF) and the Communist Party of India (Marxist) [CPI(M)] are coming face to face in Kozhikode district over attempts by Democratic Youth Federation of India (DYFI) activists to corner Vadakara MP Shafi Parambil, alleging that he was “protecting” Palakkad MLA Rahul Mamkootathil, who has been accused of sexual misconduct. Though district DYFI leaders claimed that the organisation had not officially decided to disrupt events attended by Mr. Parambil, the MP faced the ire of local activists twice in the past week. The tipping point came on August 27, when his vehicle was waylaid by DYFI cadre as he was leaving an Onam event for differently abled children. Heated arguments followed, with Mr. Parambil stepping out of his car and alleging that the activists hurled abuse at him. However, local DYFI leaders later contended that the provocation originated from one of Mr. Parambil’s aides inside the vehicle. Subsequently, youth organisations aligned with the UDF, along with leaders of its ally, the Revolutionary Marxist Party of India (RMP), including Vadakara MLA K.K. Rema, took to the streets in Vadakara and Perambra. Amid the melee, allegations surfaced that V.P. Dulkhifil, Kozhikode district panchayat member and Youth Congress State general secretary, was manhandled by the police. The Congress and the UDF view the protests as a direct attack on Mr. Parambil, who trounced CPI(M) veteran K.K. Shailaja in its stronghold Vadakara in the 2024 Lok Sabha polls. The CPI(M), meanwhile, is stepping up its ground-level campaign against the MP, reportedly portraying",culture,28-Aug-25
Another low pressure off Bay of Bengal likely to bring in more rain,"More rainfall is in store over the coming days, with another weather system - a low-pressure area - expected to form in the Bay of Bengal, near north Odisha, in the first week of September. This system is likely to bring rain to north Telangana and the twin cities, according to meteorologists at the Telangana Development Planning Society (TDPS) on Thursday. In fact, August has turned out to be the wettest month in the last five years, with an 80% excess in rainfall - about 36 cm recorded so far this month. The normal rainfall for August in Telangana is typically around 21.6 cm. “We’ve usually seen heavy rainfall in July, and moderate to normal rainfall in August over the past few years. But this year, the pattern has reversed. While July saw just a 5% excess, August has brought heavy to extremely heavy rainfall,” explained senior weather consultant Y.V. Rama Rao in an exclusive interaction. The heavy rains are attributed to a combination of an ‘active’ southwest monsoon and a depression in the Bay of Bengal. The current system is moving towards Chhattisgarh, which could reduce the extent of rainfall, at least, in the capital from tomorrow, he added. 25% excess rainfall so far Districts in north Telangana - Medak, Kamareddy, Nizamabad, Karimnagar and others - have been experiencing heavy rainfall over the past few days. As of now, Telangana has received about 70 cm of rainfall this monsoon season, compared to the normal 56 cm since June 2025, an excess of 25%.",politics,28-Aug-25
Kozhikode MCH to procure surgical devices amid shortage in Cardiology dept.,"The authorities at the Government Medical College Hospital (MCH), Kozhikode, are reportedly making arrangements to procure surgical devices for the Cardiology department, after emergency angioplasty surgeries were stopped following their shortage. “According to sources, the Head of the Department of Cardiology had informed higher officials on Thursday (August 28, 2025) that it would not be possible to offer primary angioplasty to patients with heart disease because of a shortage of balloon-tipped catheters and mesh wires, which are used to widen narrowed or blocked blood vessels and place stents. Doctors in the department had said that only thrombolysis — a procedure in which blood clots are dissolved to restore normal blood flow — could be offered as treatment for heart attacks. The department also clarified that all",science,28-Aug-25
"Govt. would always stand by contractors, says Udhayanidhi","Hailing the role played by contractors in boosting infrastructure in the State, Deputy Chief Minister Udhayanidhi Stalin on Thursday said the State government would always stand by them. Chief Minister M.K. Stalin would take the State to greater heights by joining hands with contractors, Mr. Udhayanidhi said. Addressing the second State convention of the Tamil Nadu Highways Contractors’ Federation at Chennai Trade Centre, Mr. Udhayanidhi said there were many issues that contractors faced during the previous [AIADMK] government for over 10 years. “But under the DMK government of our Chief Minister, we can say it is a golden period for contractors.” Earlier, he inaugurated CONEX South 2025, an infrastructure construction machinery exhibition. He released the souvenir of the second State convention of the Tamil Nadu Highways Contractors Federation. Listing measures undertaken by the DMK government to benefit contractors, Mr. Udhayanidhi said the government and the Chief Minister would implement more measures to benefit them. “Our Minister concerned would definitely discuss with the Chief Minister and ensure that such measures benefit you.” In his speech, Minister for Public",politics,28-Aug-25
Retired elderly couple duped of life savings in ‘virtual arrest’ scam in Kasaragod,"An elderly couple, both retired government employees, lost ?2.4 crore after reportedly being held under “virtual arrest” for 11 days by alleged cyber fraudsters in Kanhangad in Kasaragod. According to the police, the victims are a 69-year-old retired teacher and his 72-year-old wife, a retired government homeopathy doctor. The couple live alone in a rented house at Kanhangad. “It was on the morning of August 10 that my wife received a call from an international number. The caller said she was involved in a money laundering case being investigated by the Central Bureau of Investigation [CBI],” the retired teacher said, requesting anonymity. The scammers allegedly displayed a fake Aadhaar card and said the couple was under “virtual arrest. On August 12, the couple was reportedly told that their case would be heard virtually by a CBI court in Mumbai. They were then asked to transfer all their savings for ‘verification,’ with the assurance that the money would be deposited in accounts belonging to the Supreme Court. Between August 19 and 21, the couple transferred ?2.4 crore in four transactions as directed. They realised it was a scam only after a relative visited their home, following which they alerted the police. The Kasaragod Cyber police registered a case on August 22 under Section 316(4) of the Bharatiya Nyaya Sanhita and Section 66(D) of the Information Technology Act. Published - August 28, 2025 11:55 pm IST",sports,28-Aug-25
Bandi Sanjay hands over financial assistance to flood-affected family,"Union Minister of State for Home Affairs Bandi Sanjay Kumar praised the tireless rescue efforts of the NDRF teams and the swift rescue operation by the IAF choppers in the flood-affected areas of Rajanna Sircilla district on Thursday. He was speaking to the media after visiting the flood-affected families in Narmala in Gambhiraopet mandal on Thursday afternoon, shortly after two IAF choppers airlifted five stranded cattle grazers of Narmala village to safety. He thanked Defence Minister Rajnath Singh for deploying two helicopters for rescue and relief operations. He commended the relentless efforts of Collector Sandeep Kumar Jha and Superintendent of Police Gite",sports,28-Aug-25
BJP asks cadre to join in relief and rehabilitation works,"Telangana BJP president N. Ramchander Rao on Thursday directed party workers to join in relief works immediately in rain affected areas of the State. In a tele-conference with booth- level presidents, district presidents, office-bearers and corporators, he asked them to participate in relief works and cooperate with official machinery involved in evacuating people from low-lying areas, and in distribution of food and drinking water to the needy. He urged people to be vigilant due to heavy rains lashing across Telangana in view of a warning of heavy to very heavy rains in several districts, and a red alert has been issued in Medak and Kamareddy districts. People should take precautions and avoid going out unless it is an emergency as some streams and lakes are overflowing and roads in some areas have been submerged, he said. The Central government has given assurance to help Telangana in relief and evacuation of people from low-lying areas to safer places. Union Minister Rajnath Singh (Defence) and party’s national president J P Nadda spoke to Mr. Rao to",sports,28-Aug-25
"Mamkootathil’s suspension meaningless, says Brinda Karat","Communist Party of India (Marxist) [CPI(M)] leader Brinda Karat has accused Leader of the Opposition V.D. Satheesan of defending “disgraced” Palakkad MLA Rahul Mamkootathil, who was suspended from the Congress party following allegations of sexual misconduct. She told the media here on Thursday (August 28, 2025) that “a serious sexual harasser and offender” was being “defended and supported” by the Leader of the Opposition from the Congress. “You suspended an MLA obviously because you found that he had indeed done something wrong. Otherwise, why did you suspend him? Because you accept that what he has done is totally condemnable and unacceptable. But simultaneously you defend him... Certainly, action must be taken against him,” Ms. Karat said. On the Congress party’s claim that it had taken action against Mr. Mamkootathil despite receiving a written complaint, she said the party suspended him because it knew there was prima facie evidence of the sexual misconduct he had committed. “So, on the one hand, you want to say we have taken action against him, and on the other, you stand up and defend him. This is utter hypocrisy. Not only that, it is an insult to the women of Kerala. When you are defending a serious sexual offender, the six-month suspension is meaningless. The United Democratic Front and the Leader of the Opposition are singularly responsible for insulting the women of Kerala,” Ms. Karat said. Published - August 28, 2025 11:49 pm IST",health,28-Aug-25
More labourers to be deployed for NH repair works in Kozhikode,"The total workforce will be increased soon to speed up the ongoing National Highway widening works and service road repairs in Kozhikode district. The move follows a recent discussion initiated by people’s representatives in the presence of National Highways Authority of India (NHAI) officials. Various local action committees alleged that the work was being delayed due to the inadequate workforce at the sites. Though several committees had taken up the matter with NHAI officials, they had not received any assurance from the higher authorities. According to NHAI sources, the latest decision is to complete all emergency road repairs on NH-66 within a week. The proposed works will mainly address issues raised by residents at Thiruvangoor, Vengalam, Chengottukavu, Nandi, Payyoli, Iringal, and Vadakara. “Traffic diversion is also under consideration in some of the accident-prone stretches to support the works. It will be implemented with prior notice to the public,” said an engineer supervising the project. He added that the contractors were aware of public concerns and would ensure the completion of all entrusted works within a week. Meanwhile, engineers from the road contracting company in Kozhikode district expressed concerns over adverse weather conditions, which they said could hamper meeting the deadlines. They added that the number of labourers would be increased soon following recent discussions with NHAI officials, but the timely completion of the works would depend on the weather. Since the onset of the monsoon, private bus operators have been up in arms over the poor condition of service roads on the Kozhikode–Kannur National Highway. According to them, the rough, pothole-ridden roads have caused numerous mechanical problems. They also complained about reduced mileage due to frequent traffic snarls. “Night riding has become a dangerous task for motorists on the national highway due to the",environment,28-Aug-25
Kamareddy flood | Moisture from Bay of Bengal and wind from Arabian Sea brought deluge: IMD scientist,"In these days of nowcast and hourly zone-wise alerts about rainfall, the viral videos of the flooding in Kamareddy of Telangana and rescue operations shared by government officials and residents came as a shock to people. A scientist from India Meteorological Department (IMD) said that a red alert has been in place for the district for 24 hours. “It was more of a routine alert, without being specific on the intensity, in terms of orange/red category,” said a State government official when",environment,28-Aug-25
103-year-old Pocharam project stands tall amid flood fury,"It was nothing short of a miracle that 103-year-old Pocharam project on Allair river in Nagireddypet mandal of Kamareddy district withstood the flood fury of 1.82 lakh cusecs inflow as against the maximum flood discharge capacity of 70,000 cusecs. The raging flood waters due to heavy rain in its catchment area on Sunday saw Pocharam project receiving unprecedented flood. With water overflowing alarmingly and the bund on the Kamareddy side showing signs of giving away, district administration",technology,28-Aug-25
"Rains damage 387 transformers, 1,465 poles; many restored on war-footing","HYDERABAD A total of 1,465 electric poles and 387 distribution transformers in the limits of Southern and Northern power distribution companies were damaged in the incessant rains across the State since Tuesday, and the field staff of the two utilities are engaged in replacing/repairing the damaged installations. Chairman and Managing Director of the Southern Power Distribution Company of Telangana Ltd (TGSPDCL) Md. Musharraf Faruqui said",environment,28-Aug-25
Pre-test for Census 2027 to be conducted in October-November,"The pre-test exercise for the Population Census, 2027 will be conducted in October and November this year, the Registrar General and Census Commissioner (RG & CCI) have informed the Directorates of Census Operations (DCOs) in the States. A pre-test is required to test the efficacy of the entire exercise that will be held in two phases — Houselisting and Housing Schedule (HLO) and Population Enumeration — between April 1, 2026 and February 28, 2027. This will be the first digital Census and the first to enumerate caste in independent India. Trial exercise The test will evaluate the proposed questions, data collection methodologies, training effectiveness, logistics, printing processes, and data quality assessment and identify potential field issues. Registrar General of India Mrityunjay Kumar Narayan is learnt to have informed the DCOs in the States. The DCOs have been told that a mobile app will be used for the first time to collect data. Other aspects such as self-enumeration, digital mapping tools, and a web-based portal for real-time monitoring and management will also be tried out during the pre-test, the DCOs were informed. Phase 1 questions only This is the first Census since 2011 as the exercise that was scheduled for 2021 was delayed, initially due to the COVID-19 pandemic. It will now be completed in 2027. The pre-test for the planned 2021",politics,28-Aug-25
